year,mat_virgin_eff,mat_massperm2,mat_MFG_eff,mat_MFG_scrap_Recycled,mat_MFG_scrap_Recycling_eff,mat_MFG_scrap_Recycled_into_HQ,mat_MFG_scrap_Recycled_into_HQ_Reused4MFG,mat_PG3_ReMFG_target,mat_ReMFG_yield,mat_PG4_Recycling_target,mat_Recycling_yield,mat_EOL_Recycled_into_HQ,mat_EOL_RecycledHQ_Reused4MFG
year,%,g,%,%,%,%,%,%,%,%,%,%,%
1995,18.6,3091.18541,99,100,60,100,100,0,0,100,42,100,100
1996,18.6,3017.416546,99,100,60,100,100,0,0,100,42,100,100
1997,18.6,2700,99,100,60,100,100,0,0,100,42,100,100
1998,18.6,2540.372671,99,100,60,100,100,0,0,100,42,100,100
1999,18.6,2484.698914,99,100,60,100,100,0,0,100,42,100,100
2000,18.6,2433.962264,99,100,60,100,100,0,0,100,42,100,100
2001,18.6,2387.533875,99,100,60,100,100,0,0,100,42,100,100
2002,18.6,2344.887348,99,100,60,100,100,0,0,100,42,100,100
2003,18.6,2317.892053,99,100,60,100,100,0,0,100,42,100,100
2004,18.6,2256.019262,99,100,60,100,100,0,0,100,42,100,100
2005,18.6,2113.832853,99,100,60,100,100,0,0,100,42,100,100
2006,18.6,2083.479481,99,100,60,100,100,0,0,100,42,100,100
2007,18.6,2054.68216,99,100,60,100,100,0,0,100,42,100,100
2008,18.6,2027.324225,99,100,60,100,100,0,0,100,42,100,100
2009,18.6,2001.30039,99,100,60,100,100,0,0,100,42,100,100
2010,18.6,1987.150659,99,100,60,100,100,0,0,100,42,100,100
2011,18.6,1966.59313,99,100,60,100,100,0,0,100,42,100,100
2012,18.6,1962.986198,99,100,60,100,100,0,0,100,42,100,100
2013,18.6,1619.458128,99,100,60,100,100,0,0,100,42,100,100
2014,18.6,1592.739726,99,100,60,100,100,0,0,100,42,100,100
2015,18.6,1495.242424,99,100,60,100,100,0,0,100,42,100,100
2016,18.6,1412.526316,99,100,60,100,100,0,0,100,42,100,100
2017,18.6,1379.820896,99,100,60,100,100,0,0,100,42,100,100
2018,18.6,1361.666667,99,100,60,100,100,0,0,100,42,100,100
2019,18.6,1343.647059,99,100,60,100,100,0,0,100,42,100,100
2020,18.6,1343.647059,99,100,60,100,100,0,0,100,42,100,100
2021,18.6,1272.176471,99,100,60,100,100,0,0,100,42,100,100
2022,18.6,1250.735294,99,100,60,100,100,0,0,100,42,100,20
2023,18.6,1229.294118,99,100,61.25,100,100,0,0,100,46.125,100,23.75
2024,18.6,1215,99,100,62.5,100,100,0,0,100,50.25,100,27.5
2025,18.6,1200.705882,99,100,63.75,100,100,0,0,100,54.375,100,31.25
2026,18.6,1191.176471,99,100,65,100,100,0,0,100,58.5,100,35
2027,18.6,1181.647059,99,100,66.25,100,100,0,0,100,62.625,100,38.75
2028,18.6,1172.117647,99,100,67.5,100,100,0,0,100,66.75,100,42.5
2029,18.6,1162.588235,99,100,68.75,100,100,0,0,100,70.875,100,46.25
2030,18.6,1153.058824,99,100,70,100,100,0,0,100,75,100,50
2031,18.6,1143.529412,99,100,71,100,100,0,0,100,76.15,100,52.5
2032,18.6,1143.529412,99,100,72,100,100,0,0,100,77.3,100,55
2033,18.6,1143.529412,99,100,73,100,100,0,0,100,78.45,100,57.5
2034,18.6,1143.529412,99,100,74,100,100,0,0,100,79.6,100,60
2035,18.6,1143.529412,99,100,75,100,100,0,0,100,80.75,100,62.5
2036,18.6,1143.529412,99,100,76,100,100,0,0,100,81.9,100,65
2037,18.6,1143.529412,99,100,77,100,100,0,0,100,83.05,100,67.5
2038,18.6,1143.529412,99,100,78,100,100,0,0,100,84.2,100,70
2039,18.6,1143.529412,99,100,79,100,100,0,0,100,85.35,100,72.5
2040,18.6,1143.529412,99,100,80,100,100,0,0,100,86.5,100,75
2041,18.6,1143.529412,99,100,81,100,100,0,0,100,87.65,100,77.5
2042,18.6,1143.529412,99,100,82,100,100,0,0,100,88.8,100,80
2043,18.6,1143.529412,99,100,83,100,100,0,0,100,89.95,100,82.5
2044,18.6,1143.529412,99,100,84,100,100,0,0,100,91.1,100,85
2045,18.6,1143.529412,99,100,85,100,100,0,0,100,92.25,100,87.5
2046,18.6,1143.529412,99,100,86,100,100,0,0,100,93.4,100,90
2047,18.6,1143.529412,99,100,87,100,100,0,0,100,94.55,100,92.5
2048,18.6,1143.529412,99,100,88,100,100,0,0,100,95.7,100,95
2049,18.6,1143.529412,99,100,89,100,100,0,0,100,96.85,100,97.5
2050,18.6,1143.529412,99,100,90,100,100,0,0,100,98,100,100
