year,mat_virgin_eff,mat_massperm2,mat_MFG_eff,mat_MFG_scrap_Recycled,mat_MFG_scrap_Recycling_eff,mat_MFG_scrap_Recycled_into_HQ,mat_MFG_scrap_Recycled_into_HQ_Reused4MFG,mat_EOL_collected_Recycled,mat_EOL_Recycling_eff,mat_EOL_Recycled_into_HQ,mat_EOL_RecycledHQ_Reused4MFG
year,%,g,%,%,%,%,%,%,%,%,%
2009,18.6,1000,100,100,60,100,100,0,42,100,100
2010,18.6,1000,100,100,60,100,100,0,42,100,100
2011,18.6,1000,100,100,60,100,100,0,42,100,100
2012,18.6,1000,100,100,60,100,100,0,42,100,100
2013,18.6,1000,100,100,60,100,100,0,42,100,100
2014,18.6,1000,100,100,60,100,100,0,42,100,100
2015,18.6,1000,100,100,60,100,100,0,42,100,100
2016,18.6,1000,100,100,60,100,100,0,42,100,100
2017,18.6,1000,100,100,60,100,100,0,42,100,100
2018,18.6,1000,100,100,60,100,100,0,42,100,100
2019,18.6,1000,100,100,60,100,100,0,42,100,100
2020,18.6,1000,100,100,60,100,100,0,42,100,100
2021,18.6,1000,100,100,60,100,100,0,42,100,100
2022,18.6,1000,100,100,60,100,100,0,42,100,100
2023,18.6,1000,100,100,60,100,100,0,42,100,100
2024,18.6,1000,100,100,60,100,100,0,42,100,100
2025,18.6,1000,100,100,60,100,100,0,42,100,100
2026,18.6,1000,100,100,60,100,100,0,42,100,100
2027,18.6,1000,100,100,60,100,100,0,42,100,100
2028,18.6,1000,100,100,60,100,100,0,42,100,100
2029,18.6,1000,100,100,60,100,100,0,42,100,100
2030,18.6,1000,100,100,60,100,100,0,42,100,100
2031,18.6,1000,100,100,60,100,100,0,42,100,100
2032,18.6,1000,100,100,60,100,100,0,42,100,100
2033,18.6,1000,100,100,60,100,100,0,42,100,100
2034,18.6,1000,100,100,60,100,100,0,42,100,100
2035,18.6,1000,100,100,60,100,100,0,42,100,100
2036,18.6,1000,100,100,60,100,100,0,42,100,100
2037,18.6,1000,100,100,60,100,100,0,42,100,100
2038,18.6,1000,100,100,60,100,100,0,42,100,100
2039,18.6,1000,100,100,60,100,100,0,42,100,100
2040,18.6,1000,100,100,60,100,100,0,42,100,100
2041,18.6,1000,100,100,60,100,100,0,42,100,100
2042,18.6,1000,100,100,60,100,100,0,42,100,100
2043,18.6,1000,100,100,60,100,100,0,42,100,100
2044,18.6,1000,100,100,60,100,100,0,42,100,100
2045,18.6,1000,100,100,60,100,100,0,42,100,100
2046,18.6,1000,100,100,60,100,100,0,42,100,100
2047,18.6,1000,100,100,60,100,100,0,42,100,100
2048,18.6,1000,100,100,60,100,100,0,42,100,100
2049,18.6,1000,100,100,60,100,100,0,42,100,100
2050,18.6,1000,100,100,60,100,100,0,42,100,100
