Year,Tracking_[Gwac],Fixed_[Gwac],Source,Notes
1995,,,,
1996,,,,
1997,,,,
1998,,,,
1999,,,,
2000,,,,
2001,,,,
2002,,,,
2003,,,,
2004,,,,
2005,,,,
2006,,,,
2007,0.01,,LBNL Utility Scale,"Total tracking and total fixed, Only utility scale, we can assume Residential = rooftop, commercial could be a mix"
2008,,0.01,,Will convert these into %
2009,0.02,0.02,,should I add/separate out by TF vs cSi??
2010,0.04,0.13,,
2011,0.25,0.23,,
2012,0.41,0.55,,
2013,0.73,0.61,,
2014,1.29,1.88,,
2015,2.01,0.87,,
2016,5.9,1.54,,
2017,3.2,0.9,,
2018,2.69,1.27,,
2019,3.99,0.61,,
2020,8.7,0.92,,
2021,11.19,1.3,,
2022,9.67,0.71,,
2023,17.75,0.77,,
2024,,,,
2025,,,,
2026,,,,
2027,,,,
2028,,,,
2029,,,,
2030,,,,
2031,,,,
2032,,,,
2033,,,,
2034,,,,
2035,,,,
2036,,,,
2037,,,,
2038,,,,
2039,,,,
2040,,,,
2041,,,,
2042,,,,
2043,,,,
2044,,,,
2045,,,,
2046,,,,
2047,,,,
2048,,,,
2049,,,,
2050,,,,
