year,E_ZnCdRefine_[kWh/kg],E_total_prctFuel_[%]
1995,9.07,39.39
1996,9.07,39.39
1997,9.07,39.39
1998,9.07,39.39
1999,9.07,39.39
2000,9.07,39.39
2001,9.07,39.39
2002,9.07,39.39
2003,9.07,39.39
2004,9.07,39.39
2005,9.07,39.39
2006,9.07,39.39
2007,9.07,39.39
2008,9.07,39.39
2009,9.07,39.39
2010,9.29,38.34
2011,9.51,37.2
2012,9.73,35.98
2013,9.95,34.69
2014,10.17,33.34
2015,10.38,31.91
2016,10.6,30.44
2017,10.82,28.9
2018,11.04,27.31
2019,11.26,25.68
2020,11.48,23.99
2021,11.7,22.26
2022,11.92,20.49
2023,12.14,18.69
2024,12.14,18.69
2025,12.14,18.69
2026,12.14,18.69
2027,12.14,18.69
2028,12.14,18.69
2029,12.14,18.69
2030,12.14,18.69
2031,12.14,18.69
2032,12.14,18.69
2033,12.14,18.69
2034,12.14,18.69
2035,12.14,18.69
2036,12.14,18.69
2037,12.14,18.69
2038,12.14,18.69
2039,12.14,18.69
2040,12.14,18.69
2041,12.14,18.69
2042,12.14,18.69
2043,12.14,18.69
2044,12.14,18.69
2045,12.14,18.69
2046,12.14,18.69
2047,12.14,18.69
2048,12.14,18.69
2049,12.14,18.69
2050,12.14,18.69
