year,Module MFGing Energy CdTe [kWh/m2]
1995,
1996,
1997,
1998,
1999,
2000,
2001,
2002,32400.0
2003,31750.0
2004,31099.999999999996
2005,30450.0
2006,29800.0
2007,29150.0
2008,28500.0
2009,30950.0
2010,33400.0
2011,32333.33333333333
2012,31266.666666666664
2013,30200.0
2014,35350.0
2015,40500.0
2016,41178.23333333333
2017,41856.46666666667
2018,42534.700000000004
2019,42534.700000000004
2020,42534.700000000004
2021,42534.700000000004
2022,42534.700000000004
2023,42534.700000000004
2024,42534.700000000004
2025,42534.700000000004
2026,42534.700000000004
2027,42534.700000000004
2028,42534.700000000004
2029,42534.700000000004
2030,42534.700000000004
2031,42534.700000000004
2032,42534.700000000004
2033,42534.700000000004
2034,42534.700000000004
2035,42534.700000000004
2036,42534.700000000004
2037,42534.700000000004
2038,42534.700000000004
2039,42534.700000000004
2040,42534.700000000004
2041,42534.700000000004
2042,42534.700000000004
2043,42534.700000000004
2044,42534.700000000004
2045,42534.700000000004
2046,42534.700000000004
2047,42534.700000000004
2048,42534.700000000004
2049,42534.700000000004
2050,42534.700000000004
