year,e_mat_extraction,e_mat_MFG,e_mat_MFG_fuelfraction,e_mat_MFGScrap_LQ,e_mat_MFGScrap_HQ,e_mat_Landfill,e_mat_Landfill_fuelfraction,e_mat_EoL_ReMFG_clean,e_mat_Recycled_LQ,e_mat_Recycled_HQ
year,kWh/kg,kWh/kg,%,kWh/kg,kWh/kg,kWh/kg,%,kWh/kg,kWh/kg,kWh/kg
1995,0.0062,616.28,0,24.5,600,0.08,0,0.4,1.6,604.89
1996,0.0062,549.15,0,24.5,600,0.08,0,0.4,1.6,537.85
1997,0.0062,523.78,0,24.5,600,0.08,0,0.4,1.6,512.57
1998,0.0062,498.49,0,24.5,600,0.08,0,0.4,1.6,487.37
1999,0.0062,402.12,0,24.5,600,0.08,0,0.4,1.6,391.09
2000,0.0062,323.27,0,24.5,600,0.08,0,0.4,1.6,312.33
2001,0.0062,296.54,0,24.5,600,0.08,0,0.4,1.6,285.69
2002,0.0062,246.28,0,24.5,600,0.08,0,0.4,1.6,235.52
2003,0.0062,197.94,0,24.5,600,0.08,0,0.4,1.6,187.27
2004,0.0062,190.78,0,24.5,600,0.08,0,0.4,1.6,180.2
2005,0.0062,203.6,0,24.5,600,0.08,0,0.4,1.6,193.12
2006,0.0062,190.66,0,24.5,600,0.08,0,0.4,1.6,180.01
2007,0.0062,188.76,0,24.5,600,0.08,0,0.4,1.6,178.09
2008,0.0062,182.56,0,24.5,600,0.08,0,0.4,1.6,171.81
2009,0.0062,170.86,0,24.5,600,0.08,0,0.4,1.6,160.05
2010,0.0062,158.25,0,24.5,600,0.08,0,0.4,1.6,147.46
2011,0.0062,148.54,0,24.5,600,0.08,0,0.4,1.6,137.78
2012,0.0062,148.88,0,24.5,600,0.08,0,0.4,1.6,138.12
2013,0.0062,144.97,0,24.5,600,0.08,0,0.4,1.6,134.21
2014,0.0062,144.34,0,24.5,600,0.08,0,0.4,1.6,133.52
2015,0.0062,145.9,0,24.5,600,0.08,0,0.4,1.6,135.12
2016,0.0062,135.4,0,24.5,600,0.08,0,0.4,1.6,124.62
2017,0.0062,125.96,0,24.5,600,0.08,0,0.4,1.6,115.25
2018,0.0062,120.41,0,24.5,600,0.08,0,0.4,1.6,109.64
2019,0.0062,119.75,0,24.5,600,0.08,0,0.4,1.6,109.1
2020,0.0062,121.37,0,24.5,600,0.08,0,0.4,1.6,110.83
2021,0.0062,131.39,0,24.5,600,0.08,0,0.4,1.6,120.96
2022,0.0062,131.14,0,24.5,600,0.08,0,0.4,1.6,120.83
2023,0.0062,130.89,0,24.5,600,0.08,0,0.4,1.6,120.69
2024,0.0062,131.18,0,24.5,600,0.08,0,0.4,1.6,121.1
2025,0.0062,131.47,0,24.5,600,0.08,0,0.4,1.6,121.5
2026,0.0062,131.54,0,24.5,600,0.08,0,0.4,1.6,121.68
2027,0.0062,131.61,0,24.5,600,0.08,0,0.4,1.6,121.87
2028,0.0062,131.67,0,24.5,600,0.08,0,0.4,1.6,122.04
2029,0.0062,131.56,0,24.5,600,0.08,0,0.4,1.6,122.05
2030,0.0062,131.45,0,24.5,600,0.08,0,0.4,1.6,122.05
2031,0.0062,131.45,0,24.5,600,0.08,0,0.4,1.6,122.05
2032,0.0062,131.45,0,24.5,600,0.08,0,0.4,1.6,122.05
2033,0.0062,131.45,0,24.5,600,0.08,0,0.4,1.6,122.05
2034,0.0062,131.45,0,24.5,600,0.08,0,0.4,1.6,122.05
2035,0.0062,131.45,0,24.5,600,0.08,0,0.4,1.6,122.05
2036,0.0062,131.45,0,24.5,600,0.08,0,0.4,1.6,122.05
2037,0.0062,131.45,0,24.5,600,0.08,0,0.4,1.6,122.05
2038,0.0062,131.45,0,24.5,600,0.08,0,0.4,1.6,122.05
2039,0.0062,131.45,0,24.5,600,0.08,0,0.4,1.6,122.05
2040,0.0062,131.45,0,24.5,600,0.08,0,0.4,1.6,122.05
2041,0.0062,131.45,0,24.5,600,0.08,0,0.4,1.6,122.05
2042,0.0062,131.45,0,24.5,600,0.08,0,0.4,1.6,122.05
2043,0.0062,131.45,0,24.5,600,0.08,0,0.4,1.6,122.05
2044,0.0062,131.45,0,24.5,600,0.08,0,0.4,1.6,122.05
2045,0.0062,131.45,0,24.5,600,0.08,0,0.4,1.6,122.05
2046,0.0062,131.45,0,24.5,600,0.08,0,0.4,1.6,122.05
2047,0.0062,131.45,0,24.5,600,0.08,0,0.4,1.6,122.05
2048,0.0062,131.45,0,24.5,600,0.08,0,0.4,1.6,122.05
2049,0.0062,131.45,0,24.5,600,0.08,0,0.4,1.6,122.05
2050,0.0062,131.45,0,24.5,600,0.08,0,0.4,1.6,122.05
