,mat_extraction,mat_MFG_virgin,mat_MFG_virgin_fuel,mat_MFGScrap_LQ,mat_MFGScrap_HQ,mat_MFGScrap_HQ_fuel,mat_Landfill,mat_Landfill_fuel,mat_EoL_ReMFG_clean,mat_Recycled_LQ,mat_Recycled_HQ,mat_Recycled_HQ_fuel,mat_Recycled_HQ_elec
0,1108454931.836243,5522480821.11271,1463457417.5948682,14198019.671273047,0.0,0.0,204451.4832663318,0.0,0.0,0.0,0.0,0.0,0.0
1,1200401179.0631099,6054330525.281498,1600159557.8319001,15375745.426704437,0.0,0.0,221437.10404935828,0.0,0.0,45.08600877861019,15.906343897093675,12.72507511767494,3.181268779418735
2,1538768863.1367242,7855470002.343804,2071487439.6180613,19709866.132723093,0.0,0.0,284386.7236944911,0.0,0.0,965.414073448509,340.598085112634,272.4784680901072,68.11961702252682
3,1721798320.380778,8895640275.848711,2339553392.548211,22054385.83809167,0.0,0.0,320969.72814146994,0.0,0.0,5790.199823809789,2042.7824978400938,1634.2259982720752,408.5564995680186
4,2231545363.549286,11666359764.53827,3061252802.214842,28584019.692839015,0.0,0.0,423269.1080646192,0.0,0.0,19934.38737473943,7032.851865808073,5626.281492646459,1406.570373161614
5,3007740861.969082,15909069321.777716,4164994348.441406,38526968.80470239,0.0,0.0,584202.6882424115,0.0,0.0,50291.234876722236,17742.747664507606,14194.198131606085,3548.549532901521
6,3014823349.6377344,16209386165.78663,4230649789.270311,38619096.351171136,0.0,0.0,617331.5363166616,0.0,0.0,104665.14303754155,36925.86246364466,29540.68997091573,7385.172492728932
7,3679950970.041381,20109387786.136932,5230451763.174216,47140852.8025952,0.0,0.0,790701.0125675413,0.0,0.0,191274.67550637852,67481.70551865034,53985.364414920274,13496.341103730068
8,5550365147.330939,30814338820.357883,7993239490.000835,58908686.86357067,0.0,0.0,1034318.5302878278,0.0,0.0,318071.1247647563,112215.49281700603,89772.39425360483,22443.098563401203
9,11004498586.815014,59577569313.40313,15525914563.072855,116793039.50142474,0.0,0.0,1969458.2705541197,0.0,0.0,491790.6266817194,173503.7330933106,138802.9864746485,34700.74661866212
10,13884386979.60809,73266794381.72388,19188573448.573483,147624982.34898746,0.0,0.0,9764280.90484122,0.0,0.0,13059911.706701893,4607536.850124428,3686029.480099542,921507.370024886
11,13822477075.868738,71034820427.65446,18703468218.601418,146984121.42600238,0.0,0.0,10194779.391313156,0.0,0.0,13811735.813805776,4872780.395110678,3898224.3160885423,974556.0790221356
12,20300629030.062214,101528339680.98232,26884704347.524117,215435688.04139972,0.0,0.0,3111965.816998076,0.0,0.0,16570.765288471113,5846.165993772609,4676.932795018087,1169.2331987545222
13,47997926489.68841,233473056821.63666,62173875031.60184,509367003.903563,0.0,0.0,7363527.738077722,0.0,0.0,48972.2368116767,17277.405147159545,13821.924117727636,3455.4810294319086
14,59645073547.540886,281906049578.8576,75550821287.13383,632971194.3578863,0.0,0.0,9191494.376416957,0.0,0.0,131153.70274824539,46271.026329580964,37016.82106366477,9254.205265916193
15,132118253506.57382,606341389313.9956,163530272697.98462,1115399655.5841875,0.0,0.0,16250504.270149566,0.0,0.0,322714.4537978198,113853.65929987084,91082.92743989667,22770.73185997417
16,237702587063.63287,1058143678036.3983,287391822954.6858,2006791092.7594566,0.0,0.0,29328246.056862086,0.0,0.0,735970.3206228855,259650.32911575402,207720.26329260322,51930.0658231508
17,226581957594.49002,928302234158.24,257046888638.4167,1913213202.9454708,0.0,0.0,38487082.736134194,0.0,0.0,18699241.919230293,6597092.5491044475,5277674.039283558,1319418.5098208897
18,224141156521.3849,838830266938.3481,237556731596.9402,1892641187.6835346,0.0,0.0,39361410.729718775,0.0,0.0,20700618.292770956,7303178.133689594,5842542.506951676,1460635.6267379187
19,236831250535.63126,802350443778.9277,233403744095.29007,1999867515.3498554,0.0,0.0,44041131.15398882,0.0,0.0,26061822.823401228,9194611.092095954,7355688.873676764,1838922.2184191905
20,259950881620.09042,788291764552.8663,236802846071.68106,2194607618.651943,0.0,0.0,31611367.187776167,0.0,0.0,15417.656935077102,5439.349366695202,4351.479493356162,1087.8698733390402
21,362370458105.84955,970392496851.7583,303053576766.80414,3059274567.7324963,0.0,0.0,44086260.32123788,0.0,0.0,55920.09624186225,19728.609954129006,15782.887963303205,3945.721990825801
22,469926807989.3812,1091799414412.0433,358001027985.709,3967309639.4690704,0.0,0.0,57235846.26343321,0.0,0.0,182238.16009883507,64293.62288286902,51434.89830629522,12858.724576573804
23,449266602853.3511,884505658294.3972,308869375876.4035,3792894129.3567657,0.0,0.0,54931403.40861443,0.0,0.0,536397.1171471132,189240.90292950158,151392.72234360126,37848.18058590032
24,446585851811.7058,866990608060.9502,304400402490.19965,3770277770.9025955,0.0,0.0,55139689.63226444,0.0,0.0,1449339.5760960719,511327.0024466942,409061.6019573554,102265.40048933879
25,445735294189.9674,853125413741.3605,301323896133.44855,3763711992.6851845,0.0,0.0,76102597.03164254,0.0,0.0,37452373.712515205,13213197.445775365,10570557.956620293,2642639.4891550727
26,439793281220.08575,829701438827.493,294792921215.40826,3713568750.9568596,0.0,0.0,76118911.01423834,0.0,0.0,38714815.00557306,13658586.733966175,10926869.38717294,2731717.346793236
27,466383365925.0559,867085795861.3983,309896463440.8638,3938223589.0660477,0.0,0.0,85206151.36926596,0.0,0.0,48720646.43467869,17188644.06215464,13750915.249723712,3437728.8124309275
28,481764553317.007,895682032531.6108,320116758426.7977,4068518274.718399,0.0,0.0,102171589.79015155,0.0,0.0,74519434.13043126,26290456.361216154,21032365.088972922,5258091.272243232
29,507777104221.4208,944043777506.373,337401246080.7778,4289295503.8314056,0.0,0.0,145381741.8971687,0.0,0.0,142962465.19285405,50437157.720038906,40349726.17603112,10087431.544007786
30,538428004292.8369,1001029000445.3978,357767764759.18524,4548735255.921116,0.0,0.0,172156440.50042716,0.0,0.0,182353051.5920584,64334156.6016782,51467325.281342566,12866831.320335634
31,575110019978.7205,1069227090447.4019,382141762125.9014,4858534985.1091,0.0,0.0,180581308.68727782,0.0,0.0,189130086.34541583,66725094.462662704,53380075.57013017,13345018.892532535
32,615845554765.6349,1144961360108.7844,409209190102.87964,5199951133.087826,0.0,0.0,100262182.62817642,0.0,0.0,43398451.49725027,15310973.688229894,12248778.950583916,3062194.737645978
33,659513033179.9661,1226146610356.8289,438224798541.53064,5572997242.990341,0.0,0.0,255891298.54829288,0.0,0.0,300301152.7992615,105946246.70757946,84756997.36606358,21189249.341515884
34,706883819365.4888,1314216937991.2288,469701133638.0652,5978729617.957211,0.0,0.0,460665422.5602965,0.0,0.0,640424900.9398725,225941905.05158705,180753524.04126966,45188381.010317385
35,758690850604.4767,1410534997757.307,504125208198.4615,6418717624.422588,0.0,0.0,556465480.298391,0.0,0.0,793386586.1487926,279906787.5932941,223925430.07463527,55981357.51865882
36,804754601149.1047,1496175324406.0237,534733060942.7129,6894983966.683291,0.0,0.0,3555308588.3272424,0.0,0.0,5908939986.333956,2084674027.1786194,1667739221.7428956,416934805.4357238
37,866783787516.2721,1611498104670.989,575949422609.4115,5551593467.825356,0.0,0.0,4298180242.797436,0.0,0.0,7212141459.548539,2544443506.928725,2035554805.5429797,508888701.38574505
38,944026176683.9521,1755104809753.297,627274459005.8285,6018858452.012978,0.0,0.0,3420600436.2298384,0.0,0.0,5700192987.486069,2011028085.9850855,1608822468.7880683,402205617.1970172
39,1019348984539.0411,1895142687532.2402,677323996524.0227,6527792391.028938,0.0,0.0,5010937242.615344,0.0,0.0,8406745028.355438,2965899646.0037985,2372719716.803039,593179929.2007594
40,1109153530505.0784,2062104573182.866,736996174455.5564,7081882609.971161,0.0,0.0,4487950694.578147,0.0,0.0,7498925565.918759,2645620939.6561384,2116496751.724911,529124187.93122745
41,1208343611989.43,2246515761551.098,802904733178.3625,7685040080.822639,0.0,0.0,3504416399.5853705,0.0,0.0,5802475417.900294,2047113327.435224,1637690661.9481792,409422665.4870448
42,1307062016624.442,2430050022639.801,868499878091.4648,8341454402.135925,0.0,0.0,5102228106.982531,0.0,0.0,8518176657.761888,3005212724.8583946,2404170179.886716,601042544.9716787
43,1424995735320.4526,2649308812308.6772,946862969519.1212,9055743657.6997,0.0,0.0,3802226881.2484508,0.0,0.0,6277910293.6971245,2214846751.616346,1771877401.2930768,442969350.3232691
44,1547539121966.5254,2877137756693.9614,1028289034242.4219,9832929259.608955,0.0,0.0,4057185603.045116,0.0,0.0,6694691939.725667,2361887316.3352156,1889509853.0681727,472377463.2670429
45,1675471339408.472,3114985451705.4277,1113295800439.52,10678527668.583374,0.0,0.0,5895119244.39188,0.0,0.0,9816284444.611341,3463185152.0588813,2770548121.647105,692637030.4117761
46,1825996706295.9155,3394837644302.496,1213314974073.7122,11598468847.183228,0.0,0.0,4614794609.277146,0.0,0.0,7604596939.334067,2682901800.197059,2146321440.1576474,536580360.0394118
47,1983704492266.1492,3688043172420.5664,1318106629823.1106,12599284434.89441,0.0,0.0,4971054371.976311,0.0,0.0,8189072418.468457,2889104749.2356715,2311283799.3885374,577820949.8471341
48,2149225113786.1143,3995774087217.332,1428089658771.4746,13688045561.57898,0.0,0.0,7106287533.113642,0.0,0.0,11812986727.237902,4167621717.3695316,3334097373.895625,833524343.4739065
49,2333690266446.4053,4338726099208.3535,1550660707857.0657,14872454499.209595,0.0,0.0,8156118166.912904,0.0,0.0,13578776538.98968,4790592362.95556,3832473890.3644476,958118472.5911121
50,2545474197171.9663,4732468354058.276,1691384189740.4282,16160916419.82544,0.0,0.0,6085571376.826383,0.0,0.0,10006931644.749172,3530445484.267508,2824356387.414006,706089096.8535018
51,2766307525606.2812,5143034974414.456,1838120699855.7266,17562572872.289352,0.0,0.0,6595696173.923165,0.0,0.0,10844609363.56552,3825978183.4659157,3060782546.7727327,765195636.693183
52,3006536329595.1675,5589661074130.472,1997744867894.2307,19087354131.16623,0.0,0.0,7151511650.552693,0.0,0.0,11757375446.354637,4148002057.4739165,3318401645.9791336,829600411.4947829
53,3267863891904.8716,6075513344818.533,2171388469438.1438,20746069202.395935,0.0,0.0,7756863302.452406,0.0,0.0,12751538616.362167,4498742823.852572,3598994259.082058,899748564.7705145
54,3552152149869.2383,6604053443846.623,2360288700830.783,22550532839.102478,0.0,0.0,8415905593.549512,0.0,0.0,13833911094.013191,4880603833.9678545,3904483067.1742835,976120766.793571
55,3861414174026.8926,7179024010849.087,2565783181477.464,24513522295.991364,0.0,0.0,9133290871.959564,0.0,0.0,15012132661.225012,5296280402.880184,4237024322.3041472,1059256080.5760369
