,mat_EOL_ReMFG_VAT,mat_EOL_Recycled_2_HQ,mat_EOL_Recycled_2_OQ,mat_EOL_Recycled_HQ_into_MFG,mat_EOL_Recycled_HQ_into_MFG_notUSED,mat_EOL_Recycled_HQ_into_OU,mat_EOL_Recycled_VAT,mat_EnteringModuleManufacturing_total,mat_EnteringModuleManufacturing_virgin,mat_L0,mat_L1,mat_L2,mat_L3,mat_L4,mat_LostinModuleManufacturing,mat_MFG_Recycled_HQ_into_MFG,mat_MFG_Recycled_HQ_into_OU,mat_MFG_Recycled_into_HQ,mat_MFG_Recycled_into_OQ,mat_MFG_Scrap,mat_MFG_Scrap_Landfilled,mat_MFG_Scrap_Recycled_Losses_Landfilled,mat_MFG_Scrap_Recycled_Successfully,mat_MFG_Scrap_Sentto_Recycling,mat_Manufacturing_Input,mat_PG2_stored,mat_Total_EOL_Landfilled,mat_Total_Landfilled,mat_Total_MFG_Landfilled,mat_Total_Recycled_OU,mat_UsedSuccessfullyinModuleManufacturing,mat_Virgin_Stock,mat_Virgin_Stock_Raw,mat_reMFG,mat_reMFG_2_recycle,mat_reMFG_all_unyields,mat_reMFG_mod_unyield,mat_reMFG_target,mat_reMFG_untarget,mat_reMFG_unyield,mat_reMFG_yield,mat_recycled_PG4,mat_recycled_all,mat_recycled_target,mat_recycled_yield
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214039781.0526316,214039781.0526316,0.0,0.0,0.0,0.0,0.0,10701989.052631587,175737.92549584486,1581641.3294626037,1757379.2549584485,7029517.019833794,21967240.686980605,4393448.13739612,8786896.274792243,8786896.274792243,17573792.549584486,225305032.6869806,0.0,0.0,13180344.412188362,13180344.412188362,8611158.349296398,203337792.0,225129294.76148477,375215491.26914126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,2.205890989490263,12.500048940444824,0.17647127915922106,0.0,2.0294197103310423,0.17647127915922106,237461218.40033156,237461218.40033156,578.7059694650382,61.27474970806286,0.0,4.084983313870858,22.058909894902634,11873060.920016587,194968.15826553534,1754713.4243898182,1949681.5826553535,7798726.330621414,24371019.78319192,4874203.956638385,9748407.913276767,9748407.913276767,19496815.826553535,249959177.2635069,0.0,666.1246123818745,14623277.994527534,14622611.869915152,9553454.284479883,225588157.48031497,249764208.92877007,416273681.5479501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.849833138708576,40.849833138708576,36.76484982483772,14.705939929935086
2,0.0,47.29252803969586,267.9909922249432,3.7834022431756686,0.0,43.509125796520195,3.7834022431756686,340182281.79143506,340182281.79143506,12406.99038078441,1313.6813344359962,0.0,87.57875562906634,472.9252803969586,17009114.089571774,279307.55768138886,2513768.0191325,2793075.5768138887,11172302.307255555,34913444.71017361,6982688.942034721,13965377.884069443,13965377.884069443,27930755.768138885,358086612.4120369,0.0,14281.175751246432,20962348.00185541,20948066.826104164,13686381.826506076,323173167.7018633,357807301.07095325,596345501.784922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,875.787556290664,875.787556290664,788.2088006615977,315.2835202646391
3,0.0,284.4802825701797,1612.0549345643515,22.758422605614378,0.0,261.72185996456534,22.758422605614378,404565938.583058,404565938.583058,74632.17289649775,7902.2300713938785,0.0,526.8153380929252,2844.802825701797,20228296.929152906,332169.92852082633,2989529.3566874373,3321699.2852082634,13286797.140833054,41521241.06510329,8304248.213020656,16608496.426041318,16608496.426041318,33216992.852082636,425858882.7190084,0.0,85906.02113168636,24998650.66019366,24912744.639061972,16278200.27431502,384337641.6539051,425526690.032065,709211150.0534416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5268.153380929253,5268.153380929253,4741.338042836328,1896.5352171345312
4,0.0,981.5301177213985,5562.004000421257,78.52240941771188,0.0,903.0077083036866,78.52240941771188,536094450.62808084,536094450.62808084,257500.18520468785,27264.725492261066,0.0,1817.648366150739,9815.301177213982,26804722.531404078,440161.7594630561,3961455.835167505,4401617.594630561,17606470.378522243,55020219.93288201,11004043.9865764,22008087.973152805,22008087.973152805,44016175.94630561,564309948.0295588,0.0,296397.86024031363,33308529.81996952,33012131.959729206,21574391.225398473,509289728.09667677,563869707.7476863,939782846.2461437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18176.483661507376,18176.483661507376,16358.835295356637,6543.534118142656
5,0.0,2479.6555248717714,14051.381307606705,198.3724419897417,0.0,2281.2830828820297,198.3724419897417,737637148.0116086,737637148.0116086,650526.9123891992,68879.32013532698,0.0,4591.954675688459,24796.555248717716,36881857.400580406,605638.92152532,5450750.29372788,6056389.2152532,24225556.8610128,75704865.190665,15140973.038133003,30281946.076266002,30281946.076266002,60563892.152532004,776460155.8016932,0.0,748794.7424489323,46171713.856847934,45422919.114399,29692639.819131173,700755290.6110282,775854318.5077258,1293090530.8462098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45919.54675688465,45919.54675688465,41327.59208119619,16531.036832478476
6,0.0,5165.349409934901,29270.31332296444,413.2279527947921,0.0,4752.121457140109,413.2279527947921,753779539.3188854,753779539.3188854,1355107.0982853905,143481.92805374725,0.0,9565.461870249812,51653.49409934901,37688976.96594429,618892.6743881368,5570034.069493232,6188926.743881369,24755706.975525476,77361584.29851711,15472316.859703422,30944633.719406843,30944633.719406843,61889267.43881369,793452146.6514583,0.0,1559807.9823087365,47976758.561419,46416950.579110265,30359763.479798816,716090562.3529412,792832840.7491173,1321388067.9151955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95654.61870249816,95654.61870249816,86089.15683224835,34435.66273289934
7,0.0,9445.823885540405,53526.335351395624,755.6659108432324,0.0,8690.157974697173,755.6659108432324,936843894.7692311,936843894.7692311,2478071.0810831306,262383.99682056677,0.0,17492.266454704455,94458.23885540404,46842194.73846161,769198.1451789475,6922783.306610527,7691981.451789475,30767925.807157896,96149768.14736843,19229953.629473686,38459907.25894737,38459907.25894737,76919814.51789474,986151468.1781379,0.0,2852405.5832138057,60542266.471634865,57689860.88842106,37752925.60709452,890001700.0307695,985381514.3670481,1642302523.9450803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174922.66454704452,174922.66454704452,157430.39809234007,62972.15923693603
8,0.0,15715.495048197978,89054.47193978855,1257.2396038558381,0.0,14458.25544434214,1257.2396038558381,1420735407.7594655,1420735407.7594655,4122892.2194346557,436541.52911661053,0.0,29102.76860777405,157154.95048197982,56829416.31037855,1052839.7126975404,9475557.414277863,10528397.126975404,42113588.50790162,131604964.08719254,26320992.8174385,52641985.63487702,52641985.63487702,105283971.26975404,1495510955.5362794,0.0,4745691.46764102,83708669.91995654,78962978.45231551,51692658.64956361,1363905991.449087,1494456858.5839782,2490761430.973297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291027.6860777404,291027.6860777404,261924.91746996634,104769.96698798653
9,0.0,24309.850859968257,137755.8215398201,1944.7880687974607,0.0,22365.062791170796,1944.7880687974607,2894017988.569447,2894017988.569447,6377584.330547227,675273.634999118,0.0,45018.24233327457,243098.5085996825,115760719.54277802,2144619.646266201,19301576.81639581,21446196.46266201,85784785.85064805,268077455.78327513,53615491.15665501,107230982.31331006,107230982.31331006,214461964.6266201,3046334724.809944,0.0,7340974.716479301,168187448.18644437,160846473.46996507,105246483.55137485,2778257269.026669,3044188160.3756094,5073646933.959349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450182.42333274544,450182.42333274544,405164.1809994709,162065.67239978837
